Id,Code,Name,Class,Standard Concept Caption,RC,DRC,Domain,Vocabulary,Ancestors
4048780,230679002,Abnormality of synaptic vesicles,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4043729,230671004,Acetylcholine resynthesis deficiency,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4100661,2772003,Acquired epidermolysis bullosa,Clinical Finding,Standard,0,0,Condition,SNOMED,1
374021,83942000,Acute disseminated encephalomyelitis,Clinical Finding,Standard,4,4,Condition,SNOMED,1
43530701,1.82961E+14,Acute disseminated encephalomyelitis following infectious disease,Clinical Finding,Standard,0,0,Condition,SNOMED,1
3192039,1.383E+16,Acute exacerbation of myasthenia gravis,Clinical Finding,Standard,0,0,Condition,Nebraska Lexicon,1
4294427,402856005,Acute hemorrhagic edema of childhood,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4249574,72986009,Acute hemorrhagic leukoencephalitis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4102469,28505005,Acute idiopathic thrombocytopenic purpura,Clinical Finding,Standard,0,0,Condition,SNOMED,1
37396786,716723000,Acute inflammatory demyelinating polyradiculoneuropathy,Clinical Finding,Standard,0,0,Condition,SNOMED,1
37396086,715770009,Acute motor axonal neuropathy,Clinical Finding,Standard,0,0,Condition,SNOMED,1
37396785,716722005,Acute motor sensory axonal neuropathy,Clinical Finding,Standard,0,0,Condition,SNOMED,1
37204541,783244002,Acute pure sensory neuropathy,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4126439,236503001,Acute scleroderma renal crisis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
35623634,766049000,Acute sensory ataxic neuropathy,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4295179,403486000,Acute systemic lupus erythematosus,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4298436,76715008,Addison's disease due to autoimmunity,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4081252,238942002,Adult linear immunoglobulin A disease,Clinical Finding,Standard,0,0,Condition,SNOMED,1
37312293,788613004,Anti GBM - antiglomerular basement membrane disease,Clinical Finding,Standard,0,710,Condition,SNOMED,1
4267717,62853008,Anti-glomerular basement membrane tubulointerstitial nephritis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4098292,26843008,Antiphospholipid syndrome,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45773068,7.2161E+13,Antiphospholipid syndrome in pregnancy,Clinical Finding,Standard,0,0,Condition,SNOMED,1
40482477,445187004,Antisynthetase syndrome,Clinical Finding,Standard,0,0,Condition,SNOMED,1
36716818,723004005,Autoimmune bullous dermatosis,Clinical Finding,Standard,0,401,Condition,SNOMED,1
37017388,713654004,Autoimmune cholangitis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4179877,362992004,Autoimmune connective tissue disorder,Clinical Finding,Standard,0,"3,615",Condition,SNOMED,1
434621,85828009,Autoimmune disease,Clinical Finding,Standard,931,"95,201",Condition,SNOMED,0
765298,1.08319E+15,Autoimmune disorder of bilateral inner ears,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4337463,232308006,Autoimmune disorder of inner ear,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4318558,95643007,Autoimmune encephalitis,Clinical Finding,Standard,0,4,Condition,SNOMED,1
764228,4.52281E+14,Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,Clinical Finding,Standard,0,0,Condition,SNOMED,1
35623409,765751002,Autoimmune encephalopathy with parasomnia and obstructive sleep apnea,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4028942,237822008,Autoimmune endocrine disease,Clinical Finding,Standard,0,"4,596",Condition,SNOMED,1
4341626,235728001,Autoimmune enteropathy,Clinical Finding,Standard,0,0,Condition,SNOMED,1
36716320,722288007,Autoimmune enteropathy and endocrinopathy with susceptibility to chronic infection syndrome,Clinical Finding,Standard,0,0,Condition,SNOMED,1
441269,413603009,Autoimmune hemolytic anemia,Clinical Finding,Standard,"3,242","3,845",Condition,SNOMED,1
4039536,11781007,Autoimmune hemolytic anemia due to complement,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4238904,91411007,Autoimmune hemolytic anemia due to IgA,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4143167,33491002,Autoimmune hemolytic anemia due to IgA plus complement,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4209139,5603006,Autoimmune hemolytic anemia due to IgG,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4269919,62609001,Autoimmune hemolytic anemia due to IgG plus complement,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4215784,71832003,Autoimmune hemolytic anemia due to IgM,Clinical Finding,Standard,0,0,Condition,SNOMED,1
36713763,718716008,Autoimmune hemolytic anemia mixed type,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4130680,127061005,"Autoimmune hemolytic anemia, categorized by antibody class AND/OR complement",Clinical Finding,Standard,0,0,Condition,SNOMED,1
200762,408335007,Autoimmune hepatitis,Clinical Finding,Standard,316,316,Condition,SNOMED,1
36715923,721711009,Autoimmune hepatitis type 1,Clinical Finding,Standard,0,0,Condition,SNOMED,1
36717496,721712002,Autoimmune hepatitis type 2,Clinical Finding,Standard,0,0,Condition,SNOMED,1
36715924,721713007,Autoimmune hepatitis type 3,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4326738,75316000,Autoimmune hypoparathyroidism,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4030201,237706000,Autoimmune hypophysitis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4034815,237519003,Autoimmune hypothyroidism,Clinical Finding,Standard,0,0,Condition,SNOMED,1
40483721,443899007,Autoimmune inflammation of skeletal muscle,Clinical Finding,Standard,0,0,Condition,SNOMED,1
36717242,723022008,Autoimmune keratitis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4051056,123777002,Autoimmune leukopenia,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4340391,235890007,Autoimmune liver disease,Clinical Finding,Standard,0,316,Condition,SNOMED,1
36716807,722991004,Autoimmune myopathy,Clinical Finding,Standard,0,0,Condition,SNOMED,1
37396156,715863001,Autoimmune necrotizing myopathy,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4172999,276575001,Autoimmune neonatal thrombocytopenia,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4125635,234425008,Autoimmune neutropenia,Clinical Finding,Standard,0,0,Condition,SNOMED,1
40490446,448542008,Autoimmune pancreatitis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
36716715,722872000,Autoimmune pancreatitis type 1,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4082738,183005,Autoimmune pancytopenia,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4099336,190454008,Autoimmune parathyroiditis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
42709859,449731009,Autoimmune polyendocrine syndrome type 3,Clinical Finding,Standard,0,0,Condition,SNOMED,1
42709858,449730005,Autoimmune polyendocrine syndrome type 4,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4223448,41864002,Autoimmune polyendocrinopathy,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4028936,237790001,Autoimmune primary ovarian failure,Clinical Finding,Standard,0,0,Condition,SNOMED,1
