Id,Code,Name,Class,Standard Concept Caption,Domain,Vocabulary
46368916,631870561,dexamethasone 4mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
46368673,619190269,dexamethasone 1.5mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
46368602,617860372,"dexamethasone sodium phosphate 4mg/mL INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; INTRAVENOUS; SOFT TISSUE INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
46368032,551547075,"dexamethasone sodium phosphate 4mg/mL INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; INTRAVENOUS; SOFT TISSUE INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
46367887,525840421,"dexamethasone sodium phosphate 4mg/mL INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; INTRAVENOUS; SOFT TISSUE INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
46367886,525840420,"dexamethasone sodium phosphate 10mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
46364981,52584042100,Dexamethasone phosphate 4 MG/ML Injectable Solution,11-digit NDC,Non-Standard,Drug,NDC
46364232,13985053303,Dexamethasone 2 MG/ML Injectable Solution,11-digit NDC,Non-Standard,Drug,NDC
46332455,61786037202,Dexamethasone phosphate 4 MG/ML Injectable Solution,11-digit NDC,Non-Standard,Drug,NDC
46331994,52584042010,Dexamethasone phosphate 10 MG/ML Injectable Solution,11-digit NDC,Non-Standard,Drug,NDC
46331657,61919026921,Dexamethasone 1.5 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
46331594,55154707505,1 ML Dexamethasone phosphate 4 MG/ML Injection,11-digit NDC,Non-Standard,Drug,NDC
46331565,61919026955,Dexamethasone 1.5 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
46331298,55700026355,Dexamethasone 1.5 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
46329976,55700026321,Dexamethasone 1.5 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
46255536,10544021110,Dexamethasone 1.5 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
46249118,10544021206,Dexamethasone 4 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
45905222,57561080402,Dexamethasone 2 MG/ML Injectable Solution,11-digit NDC,Non-Standard,Drug,NDC
45905101,51655001287,Dexamethasone 4 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
45904822,50090009004,Dexamethasone 4 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
45903609,52125061901,Dexamethasone 10 MG/ML Injectable Solution,11-digit NDC,Non-Standard,Drug,NDC
45903528,50090008804,Dexamethasone 4 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
45903322,50090008703,Dexamethasone 0.75 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
45903198,50090009100,Dexamethasone 4 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
45902858,50090008900,Dexamethasone 4 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
45902278,50090008700,Dexamethasone 0.75 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
45898970,500900091,dexamethasone 4mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45898969,500900090,dexamethasone 4mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45898968,500900089,dexamethasone 4mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45898967,500900088,dexamethasone 4mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45898966,500900087,dexamethasone .75mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45898284,105440212,dexamethasone 4mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45898283,105440211,dexamethasone 1.5mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45875627,54569464802,Dexamethasone phosphate 4 MG/ML Injectable Solution,11-digit NDC,Non-Standard,Drug,NDC
45875626,67457041800,Dexamethasone phosphate 4 MG/ML Injectable Solution,11-digit NDC,Non-Standard,Drug,NDC
45874773,54925006710,Dexamethasone 2 MG/ML Injectable Solution,11-digit NDC,Non-Standard,Drug,NDC
45869581,63629374208,Dexamethasone 4 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
45869182,67457048400,Dexamethasone phosphate 4 MG/ML Injectable Solution,11-digit NDC,Non-Standard,Drug,NDC
45867908,67457048300,Dexamethasone phosphate 10 MG/ML Injectable Solution,11-digit NDC,Non-Standard,Drug,NDC
45867907,68151502604,Dexamethasone 1 MG/ML Oral Solution,11-digit NDC,Non-Standard,Drug,NDC
45867460,63629374209,Dexamethasone 4 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
45867087,67457041805,Dexamethasone phosphate 4 MG/ML Injectable Solution,11-digit NDC,Non-Standard,Drug,NDC
45867086,67457041900,1 ML Dexamethasone phosphate 4 MG/ML Injection,11-digit NDC,Non-Standard,Drug,NDC
45867085,67457041901,1 ML Dexamethasone phosphate 4 MG/ML Injection,11-digit NDC,Non-Standard,Drug,NDC
45865388,63629374200,Dexamethasone 4 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
45864159,63629412905,Dexamethasone 0.75 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
45863797,67457048310,Dexamethasone phosphate 10 MG/ML Injectable Solution,11-digit NDC,Non-Standard,Drug,NDC
45863321,51655001203,Dexamethasone 4 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
45863320,68788993805,Dexamethasone 4 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
45863199,76420081001,{1 (10 ML) (Bupivacaine Hydrochloride 2.5 MG/ML Injectable Solution [Marcaine]) / 1 (1 ML) (Dexamethasone 10 MG/ML Injectable Solution) / 3 (Isopropyl Alcohol 0.7 ML/ML Medicated Pad) / 3 (Povidone-Iodine 100 MG/ML Medicated Pad) } Pack [Enovachem Mardex-,11-digit NDC,Non-Standard,Drug,NDC
45863193,76420076601,{2 (1 ML) (Dexamethasone 10 MG/ML Injectable Solution) / 3 (Isopropyl Alcohol 0.7 ML/ML Medicated Pad) / 3 (Povidone-Iodine 100 MG/ML Medicated Pad) } Pack [Enovachem Doubledex Kit],11-digit NDC,Non-Standard,Drug,NDC
45862945,67457048430,Dexamethasone phosphate 4 MG/ML Injectable Solution,11-digit NDC,Non-Standard,Drug,NDC
45862016,68788993900,Dexamethasone 0.75 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
45862015,68788993902,Dexamethasone 0.75 MG Oral Tablet,11-digit NDC,Non-Standard,Drug,NDC
45861082,76420076701,{1 (1 ML) (Dexamethasone 10 MG/ML Injectable Solution) / 2 (Isopropyl Alcohol 0.7 ML/ML Medicated Pad) / 1 (2 ML) (Lidocaine Hydrochloride 10 MG/ML Injectable Solution) / 3 (Povidone-Iodine 100 MG/ML Medicated Pad) } Pack [Enovachem Dexlido Kit],11-digit NDC,Non-Standard,Drug,NDC
45860837,54569464801,Dexamethasone phosphate 4 MG/ML Injectable Solution,11-digit NDC,Non-Standard,Drug,NDC
45860836,55154273305,Dexamethasone phosphate 4 MG/ML Injectable Solution,11-digit NDC,Non-Standard,Drug,NDC
45856646,688500001,dexamethasone .5mg/5mL ORAL ELIXIR,9-digit NDC,Non-Standard,Drug,NDC
45854573,681515026,"dexamethasone intensol 1mg/mL ORAL SOLUTION, CONCENTRATE",9-digit NDC,Non-Standard,Drug,NDC
45852768,674570484,"dexamethasone sodium phosphate 4mg/mL INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; INTRAVENOUS; SOFT TISSUE INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45852767,674570483,"dexamethasone sodium phosphate 10mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45852716,674570423,"dexamethasone sodium phosphate 4mg/mL INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; INTRAVENOUS; SOFT TISSUE INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45852715,674570422,"dexamethasone sodium phosphate 4mg/mL INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; INTRAVENOUS; SOFT TISSUE INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45852714,674570421,"dexamethasone sodium phosphate 4mg/mL INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; INTRAVENOUS; SOFT TISSUE INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45852713,674570420,"dexamethasone sodium phosphate 10mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45852712,674570419,"dexamethasone sodium phosphate 4mg/mL INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; INTRAVENOUS; SOFT TISSUE INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45852711,674570418,"dexamethasone sodium phosphate 4mg/mL INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; INTRAVENOUS; SOFT TISSUE INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45851573,663360479,dexamethasone 4mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45849949,649800509,dexamethasone .5mg/5mL ORAL ELIXIR,9-digit NDC,Non-Standard,Drug,NDC
45849384,646790810,dexamethasone .5mg/5mL ORAL ELIXIR,9-digit NDC,Non-Standard,Drug,NDC
45847118,636292696,dexamethasone .5mg/5mL ORAL SOLUTION,9-digit NDC,Non-Standard,Drug,NDC
45846763,633230516,"dexamethasone sodium phosphate 10mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45846759,633230506,"dexamethasone sodium phosphate 10mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45846585,633230165,"dexamethasone sodium phosphate 4mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45843205,604320466,dexamethasone .5mg/5mL ORAL ELIXIR,9-digit NDC,Non-Standard,Drug,NDC
