Id,Code,Name,Class,Standard Concept Caption,RC,DRC,Domain,Vocabulary,Ancestors
1550557,8638,prednisolone,Ingredient,Standard,"13,128","26,529",Drug,RxNorm,0
1550560,198142,prednisolone 5 MG Oral Tablet,Clinical Drug,Standard,939,986,Drug,RxNorm,1
1550561,199343,prednisolone 1 MG Oral Tablet,Clinical Drug,Standard,0,0,Drug,RxNorm,1
1550572,199967,prednisolone 25 MG Oral Tablet,Clinical Drug,Standard,0,0,Drug,RxNorm,1
1550652,242887,Niacinamide 25 MG/ML / prednisolone 20 MG/ML Injectable Solution,Clinical Drug,Standard,0,0,Drug,RxNorm,1
1550654,249447,prednisolone 10 MG/ML Injectable Solution,Clinical Drug,Standard,0,0,Drug,RxNorm,1
1550716,261992,prednisolone 25 MG/ML Injectable Suspension [Cotolone],Branded Drug,Standard,0,0,Drug,RxNorm,1
1550717,261993,prednisolone 50 MG/ML Injectable Suspension [Cotolone],Branded Drug,Standard,0,0,Drug,RxNorm,1
1550719,284275,prednisolone 1 MG/ML Oral Solution [Prelone],Branded Drug,Standard,15,15,Drug,RxNorm,1
1550720,284516,prednisolone 3 MG/ML Oral Solution [Orapred],Branded Drug,Standard,57,57,Drug,RxNorm,1
1550775,312614,prednisolone 1 MG/ML Oral Solution,Clinical Drug,Standard,340,379,Drug,RxNorm,1
1550777,316579,prednisolone 5 MG,Clinical Drug Comp,Standard,0,986,Drug,RxNorm,1
1550778,317474,prednisolone 3 MG/ML,Clinical Drug Comp,Standard,0,"1,274",Drug,RxNorm,1
1550779,323918,prednisolone 80 MG/ML,Clinical Drug Comp,Standard,0,14,Drug,RxNorm,1
1550780,323977,prednisolone 40 MG/ML,Clinical Drug Comp,Standard,0,24,Drug,RxNorm,1
1550915,328812,prednisolone 2 MG/ML,Clinical Drug Comp,Standard,0,44,Drug,RxNorm,1
1550916,328813,prednisolone 2.5 MG/ML,Clinical Drug Comp,Standard,0,0,Drug,RxNorm,1
1550917,328814,prednisolone 5 MG/ML,Clinical Drug Comp,Standard,0,78,Drug,RxNorm,1
1550918,328815,prednisolone 1.2 MG/ML,Clinical Drug Comp,Standard,0,506,Drug,RxNorm,1
1550919,328816,prednisolone 1.25 MG/ML,Clinical Drug Comp,Standard,0,522,Drug,RxNorm,1
1550943,333913,prednisolone 0.005 MG/MG,Clinical Drug Comp,Standard,0,0,Drug,RxNorm,1
1550944,333914,prednisolone 0.002 MG/MG,Clinical Drug Comp,Standard,0,0,Drug,RxNorm,1
1550945,333915,prednisolone 0.0025 MG/MG,Clinical Drug Comp,Standard,0,0,Drug,RxNorm,1
1550946,335262,prednisolone 0.3 MG/ML,Clinical Drug Comp,Standard,0,0,Drug,RxNorm,1
1550947,335528,prednisolone 0.2 MG/ML,Clinical Drug Comp,Standard,0,0,Drug,RxNorm,1
1550948,335529,prednisolone 2.5 MG,Clinical Drug Comp,Standard,0,0,Drug,RxNorm,1
1550949,335533,prednisolone 0.0019 MG/MG,Clinical Drug Comp,Standard,0,0,Drug,RxNorm,1
1550950,335535,prednisolone 1.3 MG,Clinical Drug Comp,Standard,0,0,Drug,RxNorm,1
1550951,337411,prednisolone 25 MG/ML,Clinical Drug Comp,Standard,0,609,Drug,RxNorm,1
1550975,351519,prednisolone 5 MG Oral Tablet [Cotolone],Branded Drug,Standard,0,0,Drug,RxNorm,1
1550980,446683,prednisolone 4 MG/ML,Clinical Drug Comp,Standard,0,34,Drug,RxNorm,1
1551004,547222,prednisolone 25 MG/ML Injectable Suspension [Pricortin],Branded Drug,Standard,0,0,Drug,RxNorm,1
1551006,562654,prednisolone 20 MG/ML Injectable Suspension,Clinical Drug,Standard,353,374,Drug,RxNorm,1
1551007,562661,prednisolone 40 MG/ML Injectable Suspension,Clinical Drug,Standard,0,9,Drug,RxNorm,1
1551008,562662,prednisolone 80 MG/ML Injectable Suspension,Clinical Drug,Standard,14,14,Drug,RxNorm,1
1551010,643123,prednisolone 10 MG Disintegrating Oral Tablet,Clinical Drug,Standard,33,44,Drug,RxNorm,1
1551011,643124,prednisolone 15 MG,Clinical Drug Comp,Standard,0,57,Drug,RxNorm,1
1551042,643125,prednisolone 15 MG Disintegrating Oral Tablet,Clinical Drug,Standard,37,57,Drug,RxNorm,1
1551043,643126,prednisolone 30 MG,Clinical Drug Comp,Standard,0,63,Drug,RxNorm,1
1551044,643127,prednisolone 30 MG Disintegrating Oral Tablet,Clinical Drug,Standard,30,63,Drug,RxNorm,1
1551045,647127,prednisolone 15 MG Disintegrating Oral Tablet [Orapred],Branded Drug,Standard,20,20,Drug,RxNorm,1
1551046,668658,prednisolone 10 MG Disintegrating Oral Tablet [Orapred],Branded Drug,Standard,11,11,Drug,RxNorm,1
1551051,792957,prednisolone 1 MG/ML Oral Suspension,Clinical Drug,Standard,0,0,Drug,RxNorm,1
1551093,794979,prednisolone 2 MG/ML Oral Solution,Clinical Drug,Standard,26,44,Drug,RxNorm,1
1551098,824889,prednisolone 4 MG/ML Oral Solution [Veripred],Branded Drug,Standard,0,0,Drug,RxNorm,1
1594688,1870654,prednisolone acetate 0.006 MG/MG,Clinical Drug Comp,Standard,0,33,Drug,RxNorm,1
1594691,1870659,Gentamicin 0.003 MG/MG / prednisolone acetate 0.006 MG/MG [Pred-G],Branded Drug Comp,Standard,0,23,Drug,RxNorm,1
1594694,1870668,Gentamicin 3 MG/ML / prednisolone acetate 10 MG/ML [Pred-G],Branded Drug Comp,Standard,0,97,Drug,RxNorm,1
19001446,102857,prednisolone 16 MG/ML Injectable Solution [Codelsol],Branded Drug,Standard,0,0,Drug,RxNorm,1
19001447,102858,prednisolone 5 MG Oral Tablet [Stintisone],Branded Drug,Standard,0,0,Drug,RxNorm,1
19001448,102859,prednisolone 16 MG/ML Injectable Solution,Clinical Drug,Standard,0,0,Drug,RxNorm,1
19002013,103166,prednisolone 16 MG/ML Injectable Solution [Codelson],Branded Drug,Standard,0,0,Drug,RxNorm,1
19002140,103263,prednisolone 5 MG/ML Otic Solution [Predsol],Branded Drug,Standard,0,0,Drug,RxNorm,1
19002161,103264,prednisolone 5 MG/ML Otic Solution,Clinical Drug,Standard,0,0,Drug,RxNorm,1
19006540,574944,prednisolone 3 MG/ML [Orapred],Branded Drug Comp,Standard,0,57,Drug,RxNorm,1
19006571,647125,prednisolone 15 MG [Orapred],Branded Drug Comp,Standard,0,20,Drug,RxNorm,1
19006572,668657,prednisolone 10 MG [Orapred],Branded Drug Comp,Standard,0,11,Drug,RxNorm,1
19006573,668659,prednisolone 30 MG [Orapred],Branded Drug Comp,Standard,0,33,Drug,RxNorm,1
19007005,105407,prednisolone 5 MG Oral Tablet [Prednesol],Branded Drug,Standard,0,0,Drug,RxNorm,1
19007006,105408,prednisolone 2.5 MG Delayed Release Oral Tablet,Clinical Drug,Standard,0,0,Drug,RxNorm,1
19007007,105409,prednisolone 5 MG Delayed Release Oral Tablet,Clinical Drug,Standard,0,0,Drug,RxNorm,1
19007008,105410,prednisolone 5 MG Disintegrating Oral Tablet,Clinical Drug,Standard,0,0,Drug,RxNorm,1
19007009,105411,prednisolone 2.5 MG Oral Tablet,Clinical Drug,Standard,0,0,Drug,RxNorm,1
19019692,198143,prednisolone 80 MG/ML Injectable Solution,Clinical Drug,Standard,0,0,Drug,RxNorm,1
