Id,Code,Name,Class,Standard Concept Caption,RC,DRC,Domain,Vocabulary,Ancestors
75053,125605004,Fracture of bone,Clinical Finding,Standard,474,"162,311",Condition,SNOMED,0
4307254,423125000,Closed fracture,Clinical Finding,Standard,"1,932","115,301",Condition,SNOMED,1
4187096,46866001,Fracture of lower limb,Clinical Finding,Standard,0,"75,638",Condition,SNOMED,1
4199590,52603002,Closed fracture of lower limb,Clinical Finding,Standard,0,"59,847",Condition,SNOMED,1
442560,71620000,Fracture of femur,Clinical Finding,Standard,0,"50,541",Condition,SNOMED,1
4050747,23406007,Fracture of upper limb,Clinical Finding,Standard,0,"49,491",Condition,SNOMED,1
4190345,373716002,Closed fracture involving joint,Clinical Finding,Standard,0,"47,701",Condition,SNOMED,1
435093,25415003,Closed fracture of femur,Clinical Finding,Standard,"2,639","41,812",Condition,SNOMED,1
45763653,700097003,Fracture of bone of hip region,Clinical Finding,Standard,0,"40,936",Condition,SNOMED,1
4138412,263225007,Fracture of proximal end of femur,Clinical Finding,Standard,0,"40,936",Condition,SNOMED,1
4282857,36991002,Closed fracture of upper limb,Clinical Finding,Standard,0,"39,442",Condition,SNOMED,1
4230399,359817006,Closed fracture of hip,Clinical Finding,Standard,0,"34,828",Condition,SNOMED,1
433856,5913000,Fracture of neck of femur,Clinical Finding,Standard,0,"27,140",Condition,SNOMED,1
4206244,439987009,Open fracture of bone,Clinical Finding,Standard,0,"25,187",Condition,SNOMED,1
434500,359820003,Closed fracture of neck of femur,Clinical Finding,Standard,"16,938","24,165",Condition,SNOMED,1
4278672,65966004,Fracture of forearm,Clinical Finding,Standard,0,"19,239",Condition,SNOMED,1
442619,66308002,Fracture of humerus,Clinical Finding,Standard,0,"15,986",Condition,SNOMED,1
441974,91419009,Closed fracture of forearm,Clinical Finding,Standard,243,"15,344",Condition,SNOMED,1
4131595,12676007,Fracture of radius,Clinical Finding,Standard,0,"14,016",Condition,SNOMED,1
441422,43295006,Closed fracture of humerus,Clinical Finding,Standard,"2,361","13,651",Condition,SNOMED,1
46270317,1.625E+16,Fracture of shoulder,Clinical Finding,Standard,0,"13,118",Condition,SNOMED,1
4015350,208388003,Fracture at wrist and/or hand level,Clinical Finding,Standard,0,"12,670",Condition,SNOMED,1
4279139,65354004,Fracture of bones of trunk,Clinical Finding,Standard,0,"12,127",Condition,SNOMED,1
439166,111640008,Closed fracture of radius,Clinical Finding,Standard,559,"12,059",Condition,SNOMED,1
45766940,704210003,Closed fracture of shoulder,Clinical Finding,Standard,0,"11,221",Condition,SNOMED,1
4177494,50531009,Open fracture of lower limb,Clinical Finding,Standard,0,"11,185",Condition,SNOMED,1
4133012,127287001,Intertrochanteric fracture,Clinical Finding,Standard,0,"10,759",Condition,SNOMED,1
437394,35442005,Closed fracture of lower end of forearm,Clinical Finding,Standard,349,"9,970",Condition,SNOMED,1
4134322,263199001,Fracture of distal end of radius,Clinical Finding,Standard,0,"9,851",Condition,SNOMED,1
4048393,15574005,Fracture of foot,Clinical Finding,Standard,0,"9,749",Condition,SNOMED,1
4133610,127286005,Fracture of upper end of humerus,Clinical Finding,Standard,0,"9,430",Condition,SNOMED,1
4185758,414292006,Fracture of lower leg,Clinical Finding,Standard,0,"9,317",Condition,SNOMED,1
437116,17222009,Closed fracture of distal end of radius,Clinical Finding,Standard,"5,434","9,270",Condition,SNOMED,1
136834,89820008,Closed intertrochanteric fracture,Clinical Finding,Standard,"9,109","9,109",Condition,SNOMED,1
4079931,18336000,Open fracture of upper limb,Clinical Finding,Standard,0,"9,027",Condition,SNOMED,1
434770,31984004,Closed fracture of bones of trunk,Clinical Finding,Standard,0,"8,909",Condition,SNOMED,1
434494,42636007,Closed fracture of upper end of humerus,Clinical Finding,Standard,"5,365","8,559",Condition,SNOMED,1
4142905,33737001,Fracture of rib,Clinical Finding,Standard,0,"7,955",Condition,SNOMED,1
441980,342070009,Closed fracture of foot,Clinical Finding,Standard,785,"7,932",Condition,SNOMED,1
438583,28576007,Open fracture of femur,Clinical Finding,Standard,296,"7,765",Condition,SNOMED,1
74138,274146004,Pathological fracture of vertebra,Clinical Finding,Standard,"7,401","7,401",Condition,SNOMED,1
4174520,50448004,Fracture of vertebral column,Clinical Finding,Standard,0,"6,852",Condition,SNOMED,1
74188,60667009,Closed fracture of rib,Clinical Finding,Standard,"1,711","6,400",Condition,SNOMED,1
4071876,20511007,Fracture of hand,Clinical Finding,Standard,0,"6,384",Condition,SNOMED,1
4182555,54556006,Fracture of ulna,Clinical Finding,Standard,131,"6,230",Condition,SNOMED,1
4134338,263250005,Fracture of bone of forefoot,Clinical Finding,Standard,0,"6,127",Condition,SNOMED,1
440543,31978002,Fracture of tibia,Clinical Finding,Standard,"1,170","5,992",Condition,SNOMED,1
4084934,281466008,Disorder of fracture healing,Clinical Finding,Standard,0,"5,531",Condition,SNOMED,1
4263628,361118003,Open fracture of hip,Clinical Finding,Standard,0,"5,507",Condition,SNOMED,1
4170742,42157000,Closed fracture of vertebral column,Clinical Finding,Standard,0,"5,164",Condition,SNOMED,1
37312439,788192009,Fracture of multiple bones,Clinical Finding,Standard,0,"5,040",Condition,SNOMED,1
4059173,16114001,Fracture of ankle,Clinical Finding,Standard,0,"4,926",Condition,SNOMED,1
45772685,704005005,Closed fracture of hand,Clinical Finding,Standard,0,"4,869",Condition,SNOMED,1
4129393,125606003,Fracture of cervical spine,Clinical Finding,Standard,0,"4,822",Condition,SNOMED,1
4128914,1261007,Fracture of multiple ribs,Clinical Finding,Standard,0,"4,753",Condition,SNOMED,1
436209,75591007,Fracture of fibula,Clinical Finding,Standard,"1,027","4,509",Condition,SNOMED,1
4211657,413876003,Closed fracture of lower leg,Clinical Finding,Standard,0,"4,387",Condition,SNOMED,1
435644,263251009,Metatarsal bone fracture,Clinical Finding,Standard,0,"4,370",Condition,SNOMED,1
436541,71555008,Closed fracture of ulna,Clinical Finding,Standard,259,"4,333",Condition,SNOMED,1
75095,42188001,Closed fracture of ankle,Clinical Finding,Standard,"3,180","4,208",Condition,SNOMED,1
4218884,82065001,Fracture of carpal bone,Clinical Finding,Standard,0,"4,194",Condition,SNOMED,1
40491340,447139008,Closed fracture of tibia,Clinical Finding,Standard,0,"3,687",Condition,SNOMED,1
440238,36924003,Closed fracture of metatarsal bone,Clinical Finding,Standard,"3,254","3,528",Condition,SNOMED,1
437993,269062008,Closed fracture of cervical spine,Clinical Finding,Standard,699,"3,447",Condition,SNOMED,1
4135749,263232003,Fracture of distal end of femur,Clinical Finding,Standard,0,"3,368",Condition,SNOMED,1
78273,12204004,Closed fracture of multiple ribs,Clinical Finding,Standard,974,"3,324",Condition,SNOMED,1
440851,91296001,Open fracture of forearm,Clinical Finding,Standard,124,"3,210",Condition,SNOMED,1
73574,302941001,Nonunion of fracture,Clinical Finding,Standard,"3,142","3,142",Condition,SNOMED,1
43021072,472856002,Open fracture of bone of wrist and/or hand,Clinical Finding,Standard,0,"3,130",Condition,SNOMED,1
4226282,405817008,Fracture of phalanx of hand,Clinical Finding,Standard,0,"3,106",Condition,SNOMED,1
4015352,208393000,Fracture of metacarpal bone,Clinical Finding,Standard,0,"3,097",Condition,SNOMED,1
4134336,263245004,Fracture of tarsal bone,Clinical Finding,Standard,0,"3,096",Condition,SNOMED,1
440545,66691008,Open fracture of bones of trunk,Clinical Finding,Standard,0,"2,965",Condition,SNOMED,1
440556,79484004,Closed transcervical fracture of femur,Clinical Finding,Standard,"2,956","2,956",Condition,SNOMED,1
