Id,Code,Name,Class,Standard Concept Caption,RC,DRC,Domain,Vocabulary,Ancestors
46273656,3.16061E+14,Osteonecrosis of radius caused by drug,Clinical Finding,Standard,0,0,Condition,SNOMED,1
46273597,3.15951E+14,Osteonecrosis of pelvis caused by drug,Clinical Finding,Standard,0,0,Condition,SNOMED,1
46273528,2.98531E+14,Osteonecrosis of ankle caused by drug,Clinical Finding,Standard,0,0,Condition,SNOMED,1
46273392,7.9191E+13,Avascular necrosis of bone as late effect of osteomyelitis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
46270478,3.15801E+14,Osteonecrosis of jaw caused by drug,Clinical Finding,Standard,0,0,Condition,SNOMED,1
46270477,3.15791E+14,Osteonecrosis of carpus caused by drug,Clinical Finding,Standard,0,0,Condition,SNOMED,1
46270405,2.98621E+14,Osteonecrosis of toe caused by drug,Clinical Finding,Standard,0,0,Condition,SNOMED,1
46270404,2.98611E+14,Osteonecrosis of tibia caused by drug,Clinical Finding,Standard,0,0,Condition,SNOMED,1
46270403,2.98601E+14,Osteonecrosis of shoulder caused by drug,Clinical Finding,Standard,0,0,Condition,SNOMED,1
46270402,2.98581E+14,Osteonecrosis of hand caused by drug,Clinical Finding,Standard,0,0,Condition,SNOMED,1
46270401,2.98561E+14,Osteonecrosis of finger caused by drug,Clinical Finding,Standard,0,0,Condition,SNOMED,1
46270400,2.98551E+14,Osteonecrosis of fibula caused by drug,Clinical Finding,Standard,0,0,Condition,SNOMED,1
46270399,2.98541E+14,Osteonecrosis of femur caused by drug,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45757800,4.31591E+14,Dysbaric osteonecrosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
44783582,699687003,Osteonecrosis of jaw due to bisphosphonate,Clinical Finding,Standard,0,0,Condition,SNOMED,1
42709944,449816009,Avascular necrosis of femoral condyle,Clinical Finding,Standard,0,0,Condition,SNOMED,1
42539204,1.60326E+16,Bilateral aseptic necrosis of humeri,Clinical Finding,Standard,0,0,Condition,SNOMED,1
42539200,1.60106E+16,Aseptic necrosis of right metatarsal,Clinical Finding,Standard,0,0,Condition,SNOMED,1
42535171,1.6033E+16,Aseptic necrosis of right lunate,Clinical Finding,Standard,0,0,Condition,SNOMED,1
42535170,1.60328E+16,Aseptic necrosis of left lunate,Clinical Finding,Standard,0,0,Condition,SNOMED,1
42535169,1.60315E+16,Bilateral osteonecrosis of femurs caused by drug,Clinical Finding,Standard,0,0,Condition,SNOMED,1
42535130,1.60112E+16,Aseptic necrosis of right talus,Clinical Finding,Standard,0,0,Condition,SNOMED,1
42535129,1.60111E+16,Aseptic necrosis of left talus,Clinical Finding,Standard,0,0,Condition,SNOMED,1
42535126,1.60106E+16,Aseptic necrosis of metatarsal of left foot,Clinical Finding,Standard,0,0,Condition,SNOMED,1
42534985,1.22472E+16,Aseptic necrosis of left lateral femoral condyle,Clinical Finding,Standard,0,0,Condition,SNOMED,1
42534984,1.22471E+16,Aseptic necrosis of right lateral femoral condyle,Clinical Finding,Standard,0,0,Condition,SNOMED,1
40482444,445157005,Aseptic necrosis of bone of hip,Clinical Finding,Standard,0,0,Condition,SNOMED,1
40481516,444904004,Aseptic necrosis of head of femur,Clinical Finding,Standard,0,0,Condition,SNOMED,1
40481125,444849002,Avascular necrosis of bone of hip,Clinical Finding,Standard,0,0,Condition,SNOMED,1
37396002,715657008,Familial avascular necrosis of femoral head,Clinical Finding,Standard,0,0,Condition,SNOMED,1
