Id,Code,Name,Class,Standard Concept Caption,RC,DRC,Domain,Vocabulary,Ancestors
45772718,704336007,Pathological fracture of radius due to osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45772713,704285000,Pathological fracture of radius due to secondary osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45772069,1.13148E+16,Pathological fracture due to secondary osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45772067,1.13116E+16,Pathological fracture of sacral vertebra due to osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45768892,707419009,Osteoporosis due to cystic fibrosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45767040,704333004,Pathological fracture of hand due to osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45767037,704330001,Pathological fracture of femur due to osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45767011,704293000,Pathological fracture of ankle due to secondary osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45767010,704292005,Pathological fracture of clavicle due to secondary osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45767009,704291003,Pathological fracture of femur due to secondary osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45767008,704290002,Pathological fracture of fibula due to secondary osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45767007,704289006,Pathological fracture of foot due to secondary osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45767006,704288003,Pathological fracture of hand due to secondary osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45767005,704287008,Pathological fracture of proximal femur due to secondary osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45767004,704286004,Pathological fracture of humerus due to secondary osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45767003,704284001,Pathological fracture of scapula due to secondary osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45767002,704283007,Pathological fracture of tibia due to secondary osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45767001,704282002,Pathological fracture of ulna due to secondary osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45766159,703264005,Secondary osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
45757324,1.13118E+16,Pathological fracture of sacral vertebra due to secondary osteoporosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
